Current Hour,Estudantes,Tempo de espera medio
12:26:38,756,307.15343915343914
12:26:39,757,307.0224570673712
12:26:40,757,307.2985468956407
12:26:41,757,307.5759577278732
12:26:42,757,307.8533685601057
12:26:43,758,307.7242744063324
12:26:44,758,308.0013192612137
12:26:45,758,308.27836411609496
12:26:46,758,308.55540897097626
12:26:47,759,308.42555994729906
12:26:48,759,308.7022397891963
12:26:49,759,308.9802371541502
12:26:50,759,309.25559947299075
12:26:51,760,309.1223684210526
12:26:52,760,309.39473684210526
12:26:53,760,309.6684210526316
12:26:54,760,309.9407894736842
12:26:55,760,310.21315789473687
12:26:56,760,310.48552631578946
12:26:57,760,310.7552631578947
12:26:58,760,311.025
12:26:59,760,311.29473684210524
12:27:00,760,311.56447368421055
12:27:01,761,311.4244415243101
12:27:02,762,311.28477690288713
12:27:03,762,311.5551181102362
12:27:04,762,311.8267716535433
12:27:05,763,311.6880733944954
12:27:06,763,311.9580602883355
12:27:07,763,312.2267365661861
12:27:08,764,312.086387434555
12:27:09,765,311.9464052287582
12:27:10,765,312.2156862745098
12:27:11,765,312.48627450980393
12:27:12,765,312.75555555555553
12:27:13,766,312.6161879895561
12:27:14,766,312.8851174934726
12:27:15,767,312.7470664928292
12:27:16,767,313.0169491525424
12:27:17,767,313.2881355932203
12:27:18,767,313.5580182529335
12:27:19,768,313.41796875
12:27:20,768,313.6861979166667
12:27:21,768,313.9544270833333
12:27:22,769,313.81404421326397
12:27:23,769,314.08192457737323
12:27:24,769,314.35110533159946
12:27:25,770,314.2116883116883
12:27:26,770,314.4779220779221
12:27:27,770,314.74545454545455
12:27:28,771,314.60440985732816
12:27:29,771,314.8715953307393
12:27:30,772,314.73056994818654
12:27:31,772,314.9974093264249
12:27:32,772,315.2642487046632
12:27:33,773,315.1228978007762
12:27:34,774,314.98191214470285
12:27:35,774,315.24935400516796
12:27:36,775,315.1109677419355
12:27:37,775,315.37806451612903
12:27:38,775,315.64516129032256
12:27:39,776,315.50386597938143
12:27:40,776,315.7680412371134
12:27:41,776,316.0322164948454
12:27:42,776,316.29639175257734
12:27:43,778,315.745501285347
12:27:44,778,316.00771208226223
12:27:45,778,316.2724935732648
12:27:46,779,316.12965340179716
12:27:47,779,316.3915275994865
12:27:48,779,316.6546854942234
12:27:49,779,316.9165596919127
12:27:50,779,317.17843388960205
12:27:51,779,317.4403080872914
12:27:52,779,317.70089858793324
12:27:53,779,317.9614890885751
12:27:54,779,318.22207958921695
12:27:55,779,318.4813863928113
12:27:56,779,318.73940949935815
12:27:57,779,318.9961489088575
12:27:58,780,318.84358974358975
12:27:59,780,319.1
12:28:00,780,319.3551282051282
12:28:01,781,319.20102432778486
12:28:02,782,319.0473145780051
12:28:03,782,319.30179028132994
12:28:04,782,319.55754475703327
12:28:05,783,319.4035759897829
12:28:06,783,319.65772669220945
12:28:07,783,319.9131545338442
12:28:08,783,320.16730523627075
12:28:09,783,320.4214559386973
12:28:10,784,320.2665816326531
12:28:11,784,320.5204081632653
12:28:12,784,320.77423469387753
12:28:13,785,320.61910828025475
12:28:14,786,320.46310432569976
12:28:15,786,320.71628498727733
12:28:16,786,320.970737913486
12:28:17,787,320.8170266836086
12:28:18,787,321.07115628970774
12:28:19,788,320.91751269035535
12:28:20,788,321.1713197969543
12:28:21,788,321.4263959390863
12:28:22,788,321.68147208121826
12:28:23,788,321.93654822335026
12:28:24,788,322.19162436548226
12:28:25,788,322.4467005076142
12:28:26,788,322.7017766497462
12:28:27,788,322.9568527918782
12:28:28,788,323.21065989847716
12:28:29,788,323.46446700507613
12:28:30,788,323.71700507614213
12:28:31,788,323.9695431472081
12:28:32,788,324.2208121827411
12:28:33,788,324.4720812182741
12:28:34,788,324.7220812182741
12:28:35,788,324.9720812182741
12:28:36,788,325.2208121827411
12:28:37,788,325.4695431472081
12:28:38,788,325.71700507614213
12:28:39,788,325.96319796954316
12:28:40,788,326.2093908629442
12:28:41,788,326.4543147208122
12:28:42,788,326.6979695431472
12:28:43,788,326.9403553299492
12:28:44,789,326.7680608365019
12:28:45,790,326.5962025316456
12:28:46,790,326.8379746835443
12:28:47,791,326.6675094816688
12:28:48,791,326.9077117572693
12:28:49,791,327.14917825537293
12:28:50,791,327.39064475347664
12:28:51,791,327.6321112515803
12:28:52,791,327.87357774968393
12:28:53,791,328.1137800252844
12:28:54,792,327.93939393939394
12:28:55,792,328.1780303030303
12:28:56,792,328.4179292929293
12:28:57,792,328.6578282828283
12:28:58,792,328.89646464646466
12:28:59,792,329.135101010101
12:29:00,792,329.37373737373736
12:29:01,792,329.6111111111111
12:29:02,793,329.4312736443884
12:29:03,793,329.6670870113493
12:29:04,793,329.9041614123581
12:29:05,793,330.13997477931906
12:29:06,793,330.37452711223204
12:29:07,793,330.609079445145
12:29:08,793,330.843631778058
12:29:09,793,331.078184110971
12:29:10,793,331.312736443884
12:29:11,793,331.54602774274906
12:29:12,793,331.77931904161414
12:29:13,793,332.01261034047917
12:29:14,793,332.24464060529635
12:29:15,793,332.4766708701135
12:29:16,793,332.70870113493066
12:29:17,794,332.52015113350126
12:29:18,794,332.75062972292193
12:29:19,794,332.9823677581864
12:29:20,795,332.7937106918239
12:29:21,797,332.18820577164365
12:29:22,797,332.4190715181932
12:29:23,797,332.65119196988707
12:29:24,797,332.8833124215809
12:29:25,799,332.2816020025031
12:29:26,800,332.09625
12:29:27,800,332.32875
12:29:28,800,332.56125
12:29:29,800,332.79375
12:29:30,801,332.6104868913858
12:29:31,801,332.8426966292135
12:29:32,801,333.0761548064919
12:29:33,802,332.89401496259353
12:29:34,803,332.71108343711086
12:29:35,803,332.9439601494396
12:29:36,803,333.17808219178085
12:29:37,803,333.4109589041096
12:29:38,805,332.81490683229816
12:29:39,805,333.0472049689441
12:29:40,805,333.28074534161493
12:29:41,805,333.5130434782609
12:29:42,806,333.33002481389576
12:29:43,807,333.14745972738535
12:29:44,808,332.96658415841586
12:29:45,808,333.1967821782178
12:29:46,808,333.4282178217822
12:29:47,809,333.24721878862795
12:29:48,809,333.47836835599503
12:29:49,809,333.7107540173053
12:29:50,809,333.9431396786156
12:29:51,810,333.76296296296294
12:29:52,810,333.9938271604938
12:29:53,810,334.22592592592594
12:29:54,810,334.45802469135805
12:29:55,811,334.2762022194821
12:29:56,811,334.5067817509248
12:29:57,811,334.73859432799014
12:29:58,811,334.9691738594328
12:29:59,812,334.78694581280786
12:30:00,812,335.01724137931035
12:30:01,812,335.2475369458128
12:30:02,812,335.4778325123153
12:30:03,813,335.2952029520295
12:30:04,813,335.5252152521525
12:30:05,813,335.75645756457567
12:30:06,814,335.57371007371006
12:30:07,814,335.8034398034398
12:30:08,814,336.034398034398
12:30:09,814,336.2653562653563
12:30:10,814,336.4963144963145
12:30:11,814,336.72727272727275
12:30:12,815,336.54478527607364
12:30:13,815,336.77546012269937
12:30:14,815,337.0073619631902
12:30:15,815,337.2380368098159
12:30:16,816,337.05392156862746
12:30:17,817,336.8690330477356
12:30:18,817,337.0979192166463
12:30:19,817,337.3255813953488
12:30:20,818,337.140586797066
12:30:21,819,336.95482295482293
12:30:22,820,336.77073170731705
12:30:23,820,336.99756097560976
12:30:24,821,336.8148599269184
12:30:25,821,337.04263093788063
12:30:26,821,337.2704019488429
12:30:27,821,337.4969549330085
12:30:28,821,337.7235079171742
12:30:29,821,337.94884287454323
12:30:30,821,338.17295980511574
12:30:31,821,338.3970767356882
12:30:32,821,338.62119366626064
12:30:33,821,338.84531059683314
12:30:34,821,339.0694275274056
12:30:35,821,339.2923264311815
12:30:36,822,339.1021897810219
12:30:37,822,339.323600973236
12:30:38,822,339.5462287104623
12:30:39,822,339.76885644768856
12:30:40,822,339.99148418491484
12:30:41,823,339.7995139732685
12:30:42,823,340.0194410692588
12:30:43,823,340.23936816524906
12:30:44,823,340.4592952612394
12:30:45,823,340.67922235722966
12:30:46,824,340.4854368932039
12:30:47,824,340.70388349514565
12:30:48,824,340.92233009708735
12:30:49,824,341.1407766990291
12:30:50,824,341.3580097087379
12:30:51,825,341.16121212121215
12:30:52,825,341.3781818181818
12:30:53,825,341.59636363636366
12:30:54,825,341.81454545454545
12:30:55,826,341.6186440677966
12:30:56,826,341.8365617433414
12:30:57,826,342.0556900726392
12:30:58,826,342.27481840193707
12:30:59,826,342.49394673123487
12:31:00,826,342.7130750605327
12:31:01,827,342.5175332527207
12:31:02,827,342.7363966142684
12:31:03,827,342.95646916565903
12:31:04,827,343.1765417170496
12:31:05,827,343.3954050785973
12:31:06,828,343.19806763285027
12:31:07,829,343.0012062726176
12:31:08,829,343.2195416164053
12:31:09,830,343.02289156626506
12:31:10,830,343.23975903614456
12:31:11,831,343.043321299639
12:31:12,831,343.25992779783394
12:31:13,831,343.4777376654633
12:31:14,831,343.6955475330927
12:31:15,831,343.9121540312876
12:31:16,832,343.7139423076923
12:31:17,832,343.92788461538464
12:31:18,832,344.14302884615387
12:31:19,834,343.53237410071944
12:31:20,834,343.7458033573142
12:31:21,834,343.96043165467626
12:31:22,835,343.7616766467066
12:31:23,835,343.9748502994012
12:31:24,836,343.7763157894737
12:31:25,836,343.9892344497608
12:31:26,837,343.7909199522103
12:31:27,837,344.0023894862604
12:31:28,839,343.3945172824791
12:31:29,840,343.19761904761907
12:31:30,841,343.00356718192626
12:31:31,842,342.8099762470309
12:31:32,843,342.61803084223016
12:31:33,843,342.83392645314353
12:31:34,843,343.05100830367735
12:31:35,845,342.4556213017751
12:31:36,845,342.67218934911244
12:31:37,845,342.891124260355
12:31:38,846,342.7044917257683
12:31:39,847,342.51711924439195
12:31:40,849,341.9281507656066
12:31:41,849,342.1472320376914
12:31:42,850,341.96588235294115
12:31:43,850,342.1858823529412
12:31:44,851,342.0047003525264
12:31:45,851,342.22444183313746
12:31:46,852,342.043427230047
12:31:47,852,342.26408450704224
12:31:48,852,342.48591549295776
12:31:49,853,342.305978898007
12:31:50,853,342.5263774912075
12:31:51,853,342.7479484173505
12:31:52,853,342.9695193434936
12:31:53,853,343.18991793669403
12:31:54,854,343.0081967213115
12:31:55,854,343.2271662763466
12:31:56,855,343.04561403508774
12:31:57,857,342.4644107351225
12:31:58,857,342.6826137689615
12:31:59,858,342.5034965034965
12:32:00,858,342.7237762237762
12:32:01,858,342.94405594405595
12:32:02,858,343.1643356643357
12:32:03,858,343.38461538461536
12:32:04,858,343.6037296037296
12:32:05,859,343.42142025611173
12:32:06,859,343.63795110593713
12:32:07,859,343.8556461001164
12:32:08,861,343.27409988385597
12:32:09,861,343.4912891986063
12:32:10,862,343.31206496519724
12:32:11,863,343.1320973348783
12:32:12,863,343.351100811124
12:32:13,864,343.1724537037037
12:32:14,864,343.3912037037037
12:32:15,864,343.6111111111111
12:32:16,864,343.8298611111111
12:32:17,866,343.2528868360277
12:32:18,866,343.4699769053118
12:32:19,868,342.8963133640553
12:32:20,868,343.1140552995392
12:32:21,868,343.3341013824885
12:32:22,869,343.15765247410815
12:32:23,870,342.9816091954023
12:32:24,870,343.2
12:32:25,872,342.63188073394497
12:32:26,872,342.84977064220186
12:32:27,872,343.0699541284404
12:32:28,874,342.5034324942792
12:32:29,874,342.7219679633867
12:32:30,875,342.5508571428571
12:32:31,877,341.9897377423033
12:32:32,877,342.2098061573546
12:32:33,879,341.6530147895336
12:32:34,879,341.87485779294656
12:32:35,880,341.71022727272725
12:32:36,880,341.9340909090909
12:32:37,882,341.3820861678005
12:32:38,883,341.21744054360136
12:32:39,883,341.440543601359
12:32:40,884,341.2782805429864
12:32:41,885,341.116384180791
12:32:42,886,340.95598194130923
12:32:43,887,340.7970687711387
12:32:44,888,340.63963963963965
12:32:45,888,340.8671171171171
12:32:46,888,341.09572072072075
12:32:47,890,340.5561797752809
12:32:48,891,340.3995510662177
12:32:49,891,340.6273849607183
12:32:50,892,340.4719730941704
12:32:51,892,340.6984304932735
12:32:52,892,340.9260089686099
12:32:53,893,340.7704367301232
12:32:54,893,340.996640537514
12:32:55,893,341.2239641657335
12:32:56,893,341.451287793953
12:32:57,894,341.29642058165547
12:32:58,894,341.5234899328859
12:32:59,894,341.751677852349
12:33:00,894,341.97986577181206
12:33:01,895,341.82569832402237
12:33:02,895,342.0536312849162
12:33:03,895,342.2826815642458
12:33:04,895,342.51061452513966
12:33:05,895,342.7385474860335
12:33:06,895,342.9664804469274
12:33:07,895,343.19217877094974
12:33:08,895,343.4178770949721
12:33:09,895,343.64357541899443
12:33:10,895,343.868156424581
12:33:11,895,344.09162011173186
12:33:12,895,344.31396648044694
12:33:13,895,344.536312849162
12:33:14,895,344.7586592178771
12:33:15,895,344.9810055865922
12:33:16,895,345.2022346368715
12:33:17,895,345.42346368715084
12:33:18,895,345.64469273743015
12:33:19,895,345.8659217877095
12:33:20,895,346.0871508379888
12:33:21,895,346.3083798882682
12:33:22,895,346.5296089385475
12:33:23,895,346.7508379888268
12:33:24,895,346.97206703910615
12:33:25,895,347.19329608938546
12:33:26,895,347.4145251396648
12:33:27,895,347.6346368715084
12:33:28,895,347.8536312849162
12:33:29,895,348.07262569832403
12:33:30,895,348.29162011173185
12:33:31,896,348.1205357142857
12:33:32,897,347.94983277591973
12:33:33,898,347.78062360801783
12:33:34,898,348.0
12:33:35,898,348.21937639198217
12:33:36,899,348.0511679644049
12:33:37,899,348.27030033370414
12:33:38,900,348.1022222222222
12:33:39,900,348.3211111111111
12:33:40,900,348.54
12:33:41,900,348.75888888888886
12:33:42,901,348.5893451720311
12:33:43,902,348.42017738359203
12:33:44,902,348.63747228381374
12:33:45,904,348.0840707964602
12:33:46,904,348.30199115044246
12:33:47,905,348.13701657458563
12:33:48,906,347.9713024282561
12:33:49,907,347.80705622932743
12:33:50,907,348.0275633958104
12:33:51,908,347.86453744493394
12:33:52,908,348.0848017621145
12:33:53,908,348.30506607929516
12:33:54,909,348.14081408140817
12:33:55,910,347.9769230769231
12:33:56,910,348.1956043956044
12:33:57,911,348.03293084522505
12:33:58,912,347.8706140350877
12:33:59,912,348.0888157894737
12:34:00,912,348.3070175438597
12:34:01,912,348.5252192982456
12:34:02,912,348.74122807017545
12:34:03,912,348.9561403508772
12:34:04,912,349.17105263157896
12:34:05,912,349.3859649122807
12:34:06,912,349.60087719298247
12:34:07,913,349.4326396495071
12:34:08,913,349.6473165388828
12:34:09,913,349.8630887185104
12:34:10,913,350.0777656078861
12:34:11,914,349.90919037199126
12:34:12,914,350.12363238512035
12:34:13,914,350.33916849015316
12:34:14,914,350.5525164113786
12:34:15,914,350.76586433260394
12:34:16,915,350.59453551912566
12:34:17,916,350.42248908296943
12:34:18,916,350.6342794759825
12:34:19,916,350.8471615720524
12:34:20,916,351.06004366812226
12:34:21,917,350.8887677208288
12:34:22,917,351.1003271537623
12:34:23,917,351.31297709923666
12:34:24,918,351.1416122004357
12:34:25,918,351.3529411764706
12:34:26,919,351.1828073993471
12:34:27,919,351.3949945593036
12:34:28,920,351.2260869565217
12:34:29,920,351.4391304347826
12:34:30,920,351.6521739130435
12:34:31,920,351.8652173913043
12:34:32,921,351.69489685124864
12:34:33,921,351.90662323561344
12:34:34,921,352.1183496199783
12:34:35,922,351.94793926247286
12:34:36,922,352.1594360086768
12:34:37,922,352.36984815618223
12:34:38,923,352.1982665222102
12:34:39,923,352.40845070422534
12:34:40,924,352.23809523809524
12:34:41,924,352.4491341991342
12:34:42,925,352.28
12:34:43,925,352.4918918918919
12:34:44,925,352.7048648648649
12:34:45,926,352.5356371490281
12:34:46,926,352.7473002159827
12:34:47,926,352.9600431965443
12:34:48,927,352.79072276159656
12:34:49,927,353.00107874865154
12:34:50,927,353.21251348435817
12:34:51,927,353.4217907227616
12:34:52,927,353.62998921251346
12:34:53,927,353.83710895361384
12:34:54,927,354.04422869471415
12:34:55,927,354.25134843581446
12:34:56,928,354.07650862068965
12:34:57,928,354.2834051724138
12:34:58,928,354.4903017241379
12:34:59,928,354.6971982758621
12:35:00,928,354.9040948275862
12:35:01,928,355.11099137931035
12:35:02,928,355.31681034482756
12:35:03,929,355.1399354144241
12:35:04,929,355.3455328310011
12:35:05,929,355.5522066738428
12:35:06,929,355.7588805166846
12:35:07,930,355.5827956989247
12:35:08,930,355.789247311828
12:35:09,931,355.61331901181524
12:35:10,931,355.81954887218046
12:35:11,932,355.6448497854077
12:35:12,933,355.470525187567
12:35:13,934,355.29764453961457
12:35:14,934,355.50642398286936
12:35:15,935,355.3358288770053
12:35:16,935,355.54545454545456
12:35:17,935,355.7561497326203
12:35:18,935,355.9657754010695
12:35:19,936,355.7938034188034
12:35:20,936,356.0021367521368
12:35:21,936,356.2104700854701
12:35:22,936,356.4188034188034
12:35:23,936,356.6271367521368
12:35:24,937,356.4535752401281
12:35:25,937,356.65955176093917
12:35:26,937,356.86659551760937
12:35:27,938,356.69296375266526
12:35:28,939,356.51863684771035
12:35:29,939,356.7252396166134
12:35:30,939,356.9329073482428
12:35:31,940,356.76063829787233
12:35:32,941,356.5887353878852
12:35:33,941,356.7970244420829
12:35:34,943,356.2492046659597
12:35:35,943,356.457051961824
12:35:36,943,356.6659597030753
12:35:37,945,356.1185185185185
12:35:38,945,356.3259259259259
12:35:39,945,356.53544973544973
12:35:40,945,356.7439153439153
12:35:41,945,356.95238095238096
12:35:42,946,356.7822410147991
12:35:43,946,356.98942917547566
